artist,danceability,energy_i,loudness,speechiness,acousticness,instrumentalness,liveness,valence_i,tempo,valence_l,arousal,dominance,goodness,energy_l,structure,power,danger,scored_words,genre
THE ANXIETY,0.679,0.323,-13.903,0.174,0.00337,0.863,0.115,0.968,190.753,0.1573133333333333,-0.0629154949494949,0.0511934848484848,0.1699089696969697,-0.0492480707070707,0.0056681818181818,0.0853201313131313,-0.1549673888888889,198,pop
TV Girl,0.6145,0.888,-6.096500000000001,0.08435,0.334503765,0.0028385,0.2224999999999999,0.5674999999999999,104.9675,0.1331955479680213,-0.0415982160226515,0.0278392538307794,0.1346525828947368,-0.0404738297176882,0.0218397541264157,0.0665944399608594,-0.1238331028730846,699,indie
Tame Impala,0.5635,0.667,-6.3295,0.03135,0.1354,0.0015295,0.0992,0.304,102.461,0.0918857938144329,-0.0567247113402061,0.0221568041237113,0.0984973480309278,-0.0494451382268041,-0.0022415508659793,0.0346851446597938,-0.1046111223402061,638,rock
Tate McRae,0.63725,0.5177499999999999,-7.3665,0.1268,0.354,0.223756035,0.12205,0.440575,136.70274999999998,0.1269447834374011,-0.0705262196938749,0.0250903062929165,0.1322505170961785,-0.0648337215889107,0.0049790208964233,0.0476708150108848,-0.1393595687982272,852,pop
Taylor Swift,0.59465625,0.50090625,-9.36396875,0.08206875,0.3659380625,0.0162700996875,0.136803125,0.317578125,117.332625,0.1294154625855662,-0.0618435120419814,0.0280736491797653,0.1345239370652614,-0.0564469639920332,0.008837523002645,0.0552087131465716,-0.1350368067017107,16346,pop
Tears For Fears,0.407,0.681,-9.118,0.383,0.0114,0.0,0.271,0.323,84.001,0.0863985463659147,-0.0386126165413533,0.0555367293233082,0.1071224812030075,-0.0155314786967418,-0.0179848771929824,0.0647646140350877,-0.0867294962406015,399,rock
The 1975,0.646,0.85,-5.466,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,0.124655,-0.0825576666666666,0.0298366666666666,0.1343544583333333,-0.0718218666666666,-0.0059418666666666,0.0442171333333333,-0.145788675,120,rock
The Backseat Lovers,0.329,0.444,-9.973,0.0417,0.0578,0.0352,0.113,0.225,162.279,0.0742941025641025,-0.0642865128205128,-0.0070332051282051,0.0703807307692307,-0.0687017884615384,0.0053309935897435,0.0011871858974358,-0.0983461794871794,156,indie
The Chainsmokers,0.601,0.787,-6.178,0.031,0.0492,0.0,0.142,0.525,134.981,0.0911251612903226,-0.0696111612903225,0.009103064516129,0.0934806720430107,-0.0670320107526881,-0.0006374139784946,0.0187019301075268,-0.1134995537634408,186,pop
The Citizens of Halloween,0.569,0.508,-12.823,0.0502,0.768,0.0,0.145,0.647,167.624,0.0970733333333333,-0.0557859999999999,0.0139916666666666,0.0989068466666666,-0.0539243466666666,0.0063740666666666,0.0318073133333333,-0.1080680066666666,150,niche or unknown
The Game,0.716,0.551,-6.987,0.47,0.167,0.0,0.197,0.305,82.393,0.1195891269841269,-0.0256842539682539,0.0553668253968253,0.1337762916666666,-0.0102512658730158,0.0050473571428571,0.0873453630952381,-0.101842869047619,504,hip hop
The Goo Goo Dolls,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,0.1384121766561514,-0.0633729400630914,0.0519711829652996,0.1540270031545741,-0.0461890189274448,-0.0041539022082018,0.076252905362776,-0.1415741009463722,317,rock
The Kid LAROI,0.376,0.657,-4.658,0.0768,0.0858,0.0,0.0884,0.203,80.565,0.1393025806451612,-0.0528961075268817,0.0205493010752688,0.1381048817204301,-0.054721005376344,0.0236234892473118,0.058961317204301,-0.1363484569892473,186,hip hop
The Killers,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,0.116368,-0.0618339999999999,0.0257209999999999,0.1221210659999999,-0.055633362,0.0042247039999999,0.0470138539999999,-0.125691358,500,rock
The Lumineers,0.549,0.715,-7.01,0.0356,0.359,0.0,0.101,0.555,134.074,0.1332530263157894,-0.068357447368421,0.0365851315789473,0.1429085526315789,-0.0578192401315789,0.0012600164473684,0.0601671875,-0.1419359934210526,304,rock
The Neighbourhood,0.5916666666666667,0.632,-5.926666666666667,0.0321666666666666,0.0552333333333333,0.0557056666666666,0.17,0.3683333333333333,101.017,0.1376547630463993,-0.0640911524691599,0.036865133670776,0.1462079610315975,-0.054849726896785,0.0054968701227916,0.0646000169567129,-0.1421692509449794,1023,rock
The Notorious B.I.G.,0.901,0.697,-3.439,0.28,0.145,0.0,0.287,0.67,93.941,0.0890557314974182,-0.0484289948364888,0.0246642771084337,0.0960213356282271,-0.040790156626506,-0.0008006626506024,0.0390543235800344,-0.0967403012048192,581,hip hop
The Rare Occasions,0.309,0.883,-3.825,0.0808,0.0673,0.00111,0.0849,0.312,159.488,0.1391378947368421,-0.0627730175438596,0.071330380116959,0.1638836842105263,-0.0353152397660818,-0.0168137076023391,0.0909116432748538,-0.1408549766081871,171,indie
