2022-01-06,2022-01-13,2022-01-20,2022-01-27,2022-02-03,2022-02-10,2022-02-17,2022-02-24,2022-03-03,2022-03-10,2022-03-17,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-19,2022-05-26,2022-06-02,2022-06-09,2022-06-16,2022-06-23,2022-06-30,2022-07-07,2022-07-14,2022-07-21,2022-07-28,2022-08-04,2022-08-11,2022-08-18,2022-08-25,2022-09-01,2022-09-08,2022-09-15,2022-09-22,2022-09-29,2022-10-06,2022-10-13,2022-10-20,2022-10-27,2022-11-03,2022-11-10,2022-11-17,2022-11-24
"Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen","Here We Go… Again (feat. Tyler, the Creator)---The Weeknd, Tyler, The Creator","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast",Easy On Me---Adele,"The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast",Need to Know---Doja Cat,Need to Know---Doja Cat,Ghost---Justin Bieber,"Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow",Ghost---Justin Bieber,Ghost---Justin Bieber,Need to Know---Doja Cat,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Ghost---Justin Bieber,Nail Tech---Jack Harlow,Need to Know---Doja Cat,"Honest (feat. Don Toliver)---Justin Bieber, Don Toliver","WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems","Purple Hearts---Kendrick Lamar, Summer Walker, Ghostface Killah",Boyfriends---Harry Styles,Little Freak---Harry Styles,Moscow Mule---Bad Bunny,Heat Waves---Glass Animals,First Class---Jack Harlow,Late Night Talking---Harry Styles,Master of Puppets (Remastered)---Metallica,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",First Class---Jack Harlow,Late Night Talking---Harry Styles,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",I Ain't Worried---OneRepublic,Heat Waves---Glass Animals,Heat Waves---Glass Animals,"STAYING ALIVE (feat. Drake & Lil Baby)---DJ Khaled, Drake, Lil Baby",Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Something in the Orange---Zach Bryan,Die For You---The Weeknd,Something in the Orange---Zach Bryan,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Sweater Weather---The Neighbourhood,I Ain't Worried---OneRepublic,Sweet Nothing---Taylor Swift,Mastermind---Taylor Swift,Midnight Rain---Taylor Swift,"Snow On The Beach (feat. Lana Del Rey)---Taylor Swift, Lana Del Rey","You're On Your Own, Kid---Taylor Swift"
"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","P power (feat. Drake)---Gunna, Drake",Lost---Frank Ocean,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Need to Know---Doja Cat,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",THATS WHAT I WANT---Lil Nas X,Need to Know---Doja Cat,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Need to Know---Doja Cat,Need to Know---Doja Cat,THATS WHAT I WANT---Lil Nas X,I Love You So---The Walters,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Don't Think Jesus---Morgan Wallen,No Role Modelz---J. Cole,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Moscow Mule---Bad Bunny,First Class---Jack Harlow,Grapejuice---Harry Styles,Wrapped Around Your Finger---Post Malone,"Cooped Up (with Roddy Ricch)---Post Malone, Roddy Ricch",Currents---Drake,Heat Waves---Glass Animals,"Hot Shit (feat. Ye & Lil Durk)---Cardi B, Kanye West, Lil Durk",Heat Waves---Glass Animals,I Ain't Worried---OneRepublic,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",CHURCH GIRL---Beyoncé,You Proof---Morgan Wallen,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Late Night Talking---Harry Styles,golden hour---JVKE,Efecto---Bad Bunny,Glimpse of Us---Joji,Die For You---The Weeknd,Die For You---The Weeknd,Evergreen (You Didn’t Deserve Me At All)---Omar Apollo,Die For You---The Weeknd,"Unholy (feat. Kim Petras)---Sam Smith, Kim Petras",Shirt---SZA,Bad Habit---Steve Lacy,"On BS---Drake, 21 Savage",golden hour---JVKE
"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",Less Than Zero---The Weeknd,Need to Know---Doja Cat,Light Switch---Charlie Puth,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU","Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","MAMIII---Becky G, KAROL G",Boyfriend---Dove Cameron,THATS WHAT I WANT---Lil Nas X,Ghost---Justin Bieber,"Thinking with My Dick (feat. Juicy J)---Kevin Gates, Juicy J",good 4 u---Olivia Rodrigo,No Role Modelz---J. Cole,Need to Know---Doja Cat,No Role Modelz---J. Cole,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Wait a Minute!---WILLOW,good 4 u---Olivia Rodrigo,The Heart Part 5---Kendrick Lamar,You Proof---Morgan Wallen,N95---Kendrick Lamar,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Music For a Sushi Restaurant---Harry Styles,Moscow Mule---Bad Bunny,Calling My Name---Drake,The Kind of Love We Make---Luke Combs,Late Night Talking---Harry Styles,I Ain't Worried---OneRepublic,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",First Class---Jack Harlow,COZY---Beyoncé,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,"STAYING ALIVE (feat. Drake & Lil Baby)---DJ Khaled, Drake, Lil Baby",You Proof---Morgan Wallen,"Hold Me Closer---Elton John, Britney Spears","I'm Good (Blue)---David Guetta, Bebe Rexha",Die For You---The Weeknd,Something in the Orange---Zach Bryan,You Proof---Morgan Wallen,Sweater Weather---The Neighbourhood,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Sweater Weather---The Neighbourhood,"Would've, Could've, Should've---Taylor Swift",Labyrinth---Taylor Swift,Maroon---Taylor Swift,Romantic Homicide---d4vd,Bejeweled---Taylor Swift
I Hate U---SZA,abcdefu---GAYLE,Out of Time---The Weeknd,Fingers Crossed---Lauren Spencer Smith,"What Else Can I Do?---Diane Guerrero, Stephanie Beatriz","Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",THATS WHAT I WANT---Lil Nas X,Dark Red---Steve Lacy,Boyfriend---Dove Cameron,Need to Know---Doja Cat,Woman---Doja Cat,THATS WHAT I WANT---Lil Nas X,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",THATS WHAT I WANT---Lil Nas X,Need to Know---Doja Cat,Need to Know---Doja Cat,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",LOVE YOU BETTER---Future,Neverita---Bad Bunny,Tití Me Preguntó---Bad Bunny,"Me Porto Bonito---Bad Bunny, Chencho Corleone",Moscow Mule---Bad Bunny,Lemon Tree---Post Malone,"Party---Bad Bunny, Rauw Alejandro","WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems","Left and Right (Feat. Jung Kook of BTS)---Charlie Puth, Jung Kook, BTS",Efecto---Bad Bunny,Late Night Talking---Harry Styles,Master of Puppets (Remastered)---Metallica,You Proof---Morgan Wallen,Heat Waves---Glass Animals,About Damn Time---Lizzo,Late Night Talking---Harry Styles,Late Night Talking---Harry Styles,Heat Waves---Glass Animals,You Proof---Morgan Wallen,Running Up That Hill (A Deal With God)---Kate Bush,Efecto---Bad Bunny,Sweater Weather---The Neighbourhood,Dark Red---Steve Lacy,CUFF IT---Beyoncé,Evergreen (You Didn’t Deserve Me At All)---Omar Apollo,Bad Habit---Steve Lacy,Sweet Nothing---Taylor Swift,"Treacherous Twins---Drake, 21 Savage",Just Wanna Rock---Lil Uzi Vert,Something in the Orange---Zach Bryan
Woman---Doja Cat,Best Friends---The Weeknd,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Lost---Frank Ocean,THATS WHAT I WANT---Lil Nas X,Cigarettes---Juice WRLD,Ghost---Justin Bieber,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",abcdefu---GAYLE,good 4 u---Olivia Rodrigo,Boyfriend---Dove Cameron,Something In The Way---Nirvana,No Role Modelz---J. Cole,In My Head---Lil Tjay,THATS WHAT I WANT---Lil Nas X,"Bam Bam (feat. Ed Sheeran)---Camila Cabello, Ed Sheeran",Woman---Doja Cat,"La Corriente---Bad Bunny, Tony Dize","Me Porto Bonito---Bad Bunny, Chencho Corleone",About Damn Time---Lizzo,Satellite---Harry Styles,Daylight---Harry Styles,Efecto---Bad Bunny,About Damn Time---Lizzo,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Moscow Mule---Bad Bunny,You Proof---Morgan Wallen,Efecto---Bad Bunny,Efecto---Bad Bunny,SUMMER RENAISSANCE---Beyoncé,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Talk---Yeat,Talk---Yeat,golden hour---JVKE,Glimpse of Us---Joji,Glimpse of Us---Joji,You Proof---Morgan Wallen,California Breeze---Lil Baby,Bigger Than The Whole Sky---Taylor Swift,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By---Rihanna,Middle of the Ocean---Drake,"Spin Bout U---Drake, 21 Savage","Major Distribution---Drake, 21 Savage"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)---Taylor Swift,"I Heard You’re Married (feat. Lil Wayne)---The Weeknd, Lil Wayne",I Love You So---The Walters,"What Else Can I Do?---Diane Guerrero, Stephanie Beatriz",Dark Red---Steve Lacy,"Don't Play That---King Von, 21 Savage","The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast","Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",Dark Red---Steve Lacy,Woman---Doja Cat,THATS WHAT I WANT---Lil Nas X,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU","pushin P (feat. Young Thug)---Gunna, Future, Young Thug",Boyfriend---Dove Cameron,"Bam Bam (feat. Ed Sheeran)---Camila Cabello, Ed Sheeran",505---Arctic Monkeys,THATS WHAT I WANT---Lil Nas X,"FOR A NUT (feat. Gunna & Young Thug)---Future, Gunna, Young Thug",Thought You Should Know---Morgan Wallen,About Damn Time---Lizzo,Tití Me Preguntó---Bad Bunny,N95---Kendrick Lamar,"Wasting Angels (with The Kid LAROI)---Post Malone, The Kid LAROI",Después de la Playa---Bad Bunny,Late Night Talking---Harry Styles,Efecto---Bad Bunny,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Efecto---Bad Bunny,Betty (Get Money)---Yung Gravy,TV---Billie Eilish,Efecto---Bad Bunny,Late Night Talking---Harry Styles,Moscow Mule---Bad Bunny,Betty (Get Money)---Yung Gravy,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Heat Waves---Glass Animals,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Sweater Weather---The Neighbourhood,golden hour---JVKE,golden hour---JVKE,Dark Red---Steve Lacy,You Proof---Morgan Wallen,The Great War---Taylor Swift,Romantic Homicide---d4vd,Karma---Taylor Swift,Something in the Orange---Zach Bryan,"Pussy & Millions (feat. Travis Scott)---Drake, 21 Savage, Travis Scott"
"Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G","pushin P (feat. Young Thug)---Gunna, Future, Young Thug","The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast","Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",good 4 u---Olivia Rodrigo,Easy On Me---Adele,"The Joker And The Queen (feat. Taylor Swift)---Ed Sheeran, Taylor Swift","MAMIII---Becky G, KAROL G","MAMIII---Becky G, KAROL G","Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU","Thinking with My Dick (feat. Juicy J)---Kevin Gates, Juicy J","maybe (feat. Bring Me The Horizon)---Machine Gun Kelly, Bring Me The Horizon",505---Arctic Monkeys,THATS WHAT I WANT---Lil Nas X,I Love You So---The Walters,505---Arctic Monkeys,MASSAGING ME---Future,Efecto---Bad Bunny,Rich - Interlude---Kendrick Lamar,Moscow Mule---Bad Bunny,Heat Waves---Glass Animals,"Party---Bad Bunny, Rauw Alejandro",Yet To Come---BTS,Flight's Booked---Drake,Moscow Mule---Bad Bunny,"Left and Right (Feat. Jung Kook of BTS)---Charlie Puth, Jung Kook, BTS",Betty (Get Money)---Yung Gravy,Moscow Mule---Bad Bunny,Betty (Get Money)---Yung Gravy,About Damn Time---Lizzo,Moscow Mule---Bad Bunny,About Damn Time---Lizzo,"STAYING ALIVE (feat. Drake & Lil Baby)---DJ Khaled, Drake, Lil Baby",Betty (Get Money)---Yung Gravy,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",golden hour---JVKE,Dark Red---Steve Lacy,Dark Red---Steve Lacy,Efecto---Bad Bunny,Glimpse of Us---Joji,CUFF IT---Beyoncé,Paris---Taylor Swift,"Would've, Could've, Should've---Taylor Swift","Unholy (feat. Kim Petras)---Sam Smith, Kim Petras",Vigilante Shit---Taylor Swift,"Snow On The Beach (feat. Lana Del Rey)---Taylor Swift, Lana Del Rey"
Shivers---Ed Sheeran,Dawn FM---The Weeknd,good 4 u---Olivia Rodrigo,Dark Red---Steve Lacy,Fingers Crossed---Lauren Spencer Smith,she's all i wanna be---Tate McRae,Boyfriend---Dove Cameron,good 4 u---Olivia Rodrigo,good 4 u---Olivia Rodrigo,THATS WHAT I WANT---Lil Nas X,Nail Tech---Jack Harlow,abcdefu---GAYLE,Boyfriend---Dove Cameron,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",I Love You So---The Walters,Dark Red---Steve Lacy,Plan B---Megan Thee Stallion,Wait a Minute!---WILLOW,PUFFIN ON ZOOTIEZ---Future,Después de la Playa---Bad Bunny,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Después de la Playa---Bad Bunny,Matilda---Harry Styles,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Heat Waves---Glass Animals,Sticky---Drake,You Proof---Morgan Wallen,Moscow Mule---Bad Bunny,You Proof---Morgan Wallen,Moscow Mule---Bad Bunny,I Ain't Worried---OneRepublic,Betty (Get Money)---Yung Gravy,Betty (Get Money)---Yung Gravy,Moscow Mule---Bad Bunny,Pink Venom---BLACKPINK,Betty (Get Money)---Yung Gravy,Late Night Talking---Harry Styles,Bound 2---Kanye West,Efecto---Bad Bunny,You Proof---Morgan Wallen,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems","I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",High Infidelity---Taylor Swift,As It Was---Harry Styles,"You're On Your Own, Kid---Taylor Swift",golden hour---JVKE,As It Was---Harry Styles
"Smokin Out The Window---Bruno Mars, Anderson .Paak, Silk Sonic",Easy On Me---Adele,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",good 4 u---Olivia Rodrigo,Woman---Doja Cat,good 4 u---Olivia Rodrigo,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU","The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast",Woman---Doja Cat,good 4 u---Olivia Rodrigo,"Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow","Sweetest Pie---Megan Thee Stallion, Dua Lipa","make up sex (feat. blackbear)---Machine Gun Kelly, blackbear",Nail Tech---Jack Harlow,505---Arctic Monkeys,Boyfriend---Dove Cameron,"MAMIII---Becky G, KAROL G","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends","Churchill Downs (feat. Drake)---Jack Harlow, Drake","Mr. Morale---Kendrick Lamar, Tanna Leone",Después de la Playa---Bad Bunny,"Party---Bad Bunny, Rauw Alejandro",Después de la Playa---Bad Bunny,Music For a Sushi Restaurant---Harry Styles,Intro---Drake,Massive---Drake,BREAK MY SOUL---Beyoncé,"Ojitos Lindos---Bad Bunny, Bomba Estéreo","Ojitos Lindos---Bad Bunny, Bomba Estéreo","Sunroof---Nicky Youre, dazy",Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Sweater Weather---The Neighbourhood,Sweater Weather---The Neighbourhood,About Damn Time---Lizzo,Moscow Mule---Bad Bunny,Die For You---The Weeknd,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Heat Waves---Glass Animals,STAR WALKIN' (League of Legends Worlds Anthem)---Lil Nas X,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",golden hour---JVKE,golden hour---JVKE,Glitch---Taylor Swift,In My Head---Juice WRLD,Jumbotron Shit Poppin---Drake,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage",Die For You---The Weeknd
Dark Red---Steve Lacy,"Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",Lost---Frank Ocean,"Kiss Me More (feat. SZA)---Doja Cat, SZA","Kiss Me More (feat. SZA)---Doja Cat, SZA",Dark Red---Steve Lacy,Easy On Me---Adele,Lost---Frank Ocean,Lost---Frank Ocean,Dark Red---Steve Lacy,abcdefu---GAYLE,Dark Red---Steve Lacy,Dark Red---Steve Lacy,Sweater Weather---The Neighbourhood,Boyfriend---Dove Cameron,"Bam Bam (feat. Ed Sheeran)---Camila Cabello, Ed Sheeran","We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Ghost---Justin Bieber,Heat Waves---Glass Animals,"Cooped Up (with Roddy Ricch)---Post Malone, Roddy Ricch","Die Hard---Kendrick Lamar, Blxst, Amanda Reifer",Keep Driving---Harry Styles,Reputation---Post Malone,PROVENZA---KAROL G,"Ojitos Lindos---Bad Bunny, Bomba Estéreo","Party---Bad Bunny, Rauw Alejandro",I Ain't Worried---OneRepublic,ALL MINE---Brent Faiyaz,"Sunroof---Nicky Youre, dazy",Master of Puppets (Remastered)---Metallica,Late Night Talking---Harry Styles,First Class---Jack Harlow,"Sunroof---Nicky Youre, dazy","Sunroof---Nicky Youre, dazy",About Damn Time---Lizzo,About Damn Time---Lizzo,Heat Waves---Glass Animals,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,No Role Modelz---J. Cole,Under The Influence---Chris Brown,Romantic Homicide---d4vd,golden hour---JVKE,Bejeweled---Taylor Swift,Question...?---Taylor Swift,Jingle Bell Rock---Bobby Helms
"family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar",Starry Eyes---The Weeknd,"Kiss Me More (feat. SZA)---Doja Cat, SZA",I Hate U---SZA,I Hate U---SZA,"What Else Can I Do?---Diane Guerrero, Stephanie Beatriz",Lost---Frank Ocean,Easy On Me---Adele,No Role Modelz---J. Cole,Lost---Frank Ocean,Dark Red---Steve Lacy,"IDGAF (with blackbear)---BoyWithUke, blackbear",505---Arctic Monkeys,Dark Red---Steve Lacy,Dark Red---Steve Lacy,Sweater Weather---The Neighbourhood,Dark Red---Steve Lacy,Thousand Miles---The Kid LAROI,"Otro Atardecer---Bad Bunny, The Marías",Crown---Kendrick Lamar,"Party---Bad Bunny, Rauw Alejandro",Cinema---Harry Styles,"One Right Now (with The Weeknd)---Post Malone, The Weeknd",Daylight---Harry Styles,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Después de la Playa---Bad Bunny,"Party---Bad Bunny, Rauw Alejandro","Sunroof---Nicky Youre, dazy","Party---Bad Bunny, Rauw Alejandro","Ojitos Lindos---Bad Bunny, Bomba Estéreo",You Proof---Morgan Wallen,"Sunroof---Nicky Youre, dazy",BREAK MY SOUL---Beyoncé,Sweater Weather---The Neighbourhood,golden hour---JVKE,Romantic Homicide---d4vd,Sweater Weather---The Neighbourhood,Running Up That Hill (A Deal With God)---Kate Bush,Heat Waves---Glass Animals,No Role Modelz---J. Cole,Efecto---Bad Bunny,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Dear Reader---Taylor Swift,Just Wanna Rock---Lil Uzi Vert,"Snow On The Beach (feat. Lana Del Rey)---Taylor Swift, Lana Del Rey",Die For You---Joji,"Jimmy Cooks (feat. 21 Savage)---Drake, 21 Savage"
I Love You So---The Walters,"thought i was playing---Gunna, 21 Savage","What Else Can I Do?---Diane Guerrero, Stephanie Beatriz","family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar","family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar",Lost---Frank Ocean,Dark Red---Steve Lacy,"Still D.R.E.---Dr. Dre, Snoop Dogg","Freaky Deaky---Tyga, Doja Cat","MAMIII---Becky G, KAROL G",No Role Modelz---J. Cole,No Role Modelz---J. Cole,Sweater Weather---The Neighbourhood,"Kiss Me More (feat. SZA)---Doja Cat, SZA","Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",Nail Tech---Jack Harlow,GOLD STACKS---Future,Aguacero---Bad Bunny,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems","Ojitos Lindos---Bad Bunny, Bomba Estéreo",Daydreaming---Harry Styles,"I Cannot Be (A Sadder Song) (with Gunna)---Post Malone, Gunna",Matilda---Harry Styles,BREAK MY SOUL---Beyoncé,PUFFIN ON ZOOTIEZ---Future,"Sunroof---Nicky Youre, dazy",LOOSE CHANGE---Brent Faiyaz,The Kind of Love We Make---Luke Combs,Die For You---The Weeknd,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",ALIEN SUPERSTAR---Beyoncé,Die For You---The Weeknd,Die For You---The Weeknd,"Sunroof---Nicky Youre, dazy","Sunroof---Nicky Youre, dazy",Dark Red---Steve Lacy,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)---Doja Cat,CUFF IT---Beyoncé,Late Night Talking---Harry Styles,Glimpse of Us---Joji,Something in the Orange---Zach Bryan,The Great War---Taylor Swift,"More M’s---Drake, 21 Savage","Circo Loco---Drake, 21 Savage","On BS---Drake, 21 Savage"
"Meet Me At Our Spot---THE ANXIETY, WILLOW, Tyler Cole",Need to Know---Doja Cat,Dark Red---Steve Lacy,Woman---Doja Cat,Shivers---Ed Sheeran,Woman---Doja Cat,good 4 u---Olivia Rodrigo,"family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar",Easy On Me---Adele,"Bam Bam (feat. Ed Sheeran)---Camila Cabello, Ed Sheeran",505---Arctic Monkeys,505---Arctic Monkeys,abcdefu---GAYLE,"pushin P (feat. Young Thug)---Gunna, Future, Young Thug",Sweater Weather---The Neighbourhood,Wait a Minute!---WILLOW,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU",Need to Know---Doja Cat,Dos Mil 16---Bad Bunny,"Party---Bad Bunny, Rauw Alejandro",Heat Waves---Glass Animals,Love Of My Life---Harry Styles,Efecto---Bad Bunny,No Role Modelz---J. Cole,Efecto---Bad Bunny,"Cash In Cash Out---Pharrell Williams, 21 Savage, Tyler, The Creator",Después de la Playa---Bad Bunny,"Party---Bad Bunny, Rauw Alejandro",Die For You---The Weeknd,"Love Lost---Mac Miller, The Temper Trap","Never Sleep (with Lil Baby feat. Travis Scott)---NAV, Lil Baby, Travis Scott",Die For You---The Weeknd,First Class---Jack Harlow,Dah Dah DahDah---Nardo Wick,Die For You---The Weeknd,Something in the Orange---Zach Bryan,Bound 2---Kanye West,Evergreen (You Didn’t Deserve Me At All)---Omar Apollo,Late Night Talking---Harry Styles,Late Night Talking---Harry Styles,Static---Steve Lacy,Static---Steve Lacy,As It Was---Harry Styles,Something in the Orange---Zach Bryan,Die For You---Joji,Die For You---The Weeknd,Vigilante Shit---Taylor Swift
